position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-210000-001-000-1,O-20240524-020000-001-000-2,BUY,FLAT,0.000000,0.074030,2024-05-23 21:00:00+00:00,1716516000000000000,2024-05-24 02:00:00+00:00,18000000000000.0,67540.0,67978.369999999,['10.03242493 USDT'],0.00649,22.42010617 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-020000-001-000-3,O-20240524-060000-001-000-4,SELL,FLAT,0.000000,0.073553,2024-05-24 02:00:00+00:00,1716530400000000000,2024-05-24 06:00:00+00:00,14400000000000.0,67978.369999999,67190.149999999,['9.94205015 USDT'],0.0116,48.03389551 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-060000-001-000-5,O-20240524-080000-001-000-6,BUY,FLAT,0.000000,0.074416,2024-05-24 06:00:00+00:00,1716537600000000000,2024-05-24 08:00:00+00:00,7200000000000.0,67190.149999999,67353.429999999,['10.01219505 USDT'],0.00243,2.13844943 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-080000-001-000-7,O-20240524-210000-001-000-8,SELL,FLAT,0.000000,0.074235,2024-05-24 08:00:00+00:00,1716584400000000000,2024-05-24 21:00:00+00:00,46800000000000.0,67353.429999999,68788.0,['10.10645906 USDT'],-0.0213,-116.60176301 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-210000-001-000-9,O-20240525-040000-001-000-10,BUY,FLAT,0.000000,0.072687,2024-05-24 21:00:00+00:00,1716609600000000000,2024-05-25 04:00:00+00:00,25200000000000.0,68788.0,68660.39,['9.99071113 USDT'],-0.00186,-19.26629920 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-040000-001-000-11,O-20240525-090000-001-000-12,SELL,FLAT,0.000000,0.072822,2024-05-25 04:00:00+00:00,1716627600000000000,2024-05-25 09:00:00+00:00,18000000000000.0,68660.39,69104.679999999,['10.03232793 USDT'],-0.00647,-42.38641431 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-090000-001-000-13,O-20240525-130000-001-000-14,BUY,FLAT,0.000000,0.072354,2024-05-25 09:00:00+00:00,1716642000000000000,2024-05-25 13:00:00+00:00,14400000000000.0,69104.679999999,68958.0,['9.98938715 USDT'],-0.00212,-20.60227187 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-130000-001-000-15,O-20240525-140000-001-000-16,SELL,FLAT,0.000000,0.072508,2024-05-25 13:00:00+00:00,1716645600000000000,2024-05-25 14:00:00+00:00,3600000000000.0,68958.0,68847.649999999,['9.99201207 USDT'],0.0016,-1.99075427 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-140000-001-000-17,O-20240525-170000-001-000-18,BUY,FLAT,0.000000,0.072624,2024-05-25 14:00:00+00:00,1716656400000000000,2024-05-25 17:00:00+00:00,10800000000000.0,68847.649999999,69266.66,['10.03041365 USDT'],0.00609,20.39976859 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-170000-001-000-19,O-20240525-190000-001-000-20,SELL,FLAT,0.000000,0.072185,2024-05-25 17:00:00+00:00,1716663600000000000,2024-05-25 19:00:00+00:00,7200000000000.0,69266.66,69170.72,['9.99310227 USDT'],0.00139,-3.06767337 USDT
BINANCE-1-011,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-190000-001-000-21,O-20240526-000000-001-000-22,BUY,FLAT,0.000000,0.072285,2024-05-25 19:00:00+00:00,1716681600000000000,2024-05-26 00:00:00+00:00,18000000000000.0,69170.72,69156.0,['9.99894696 USDT'],-0.00021,-11.06298216 USDT
BINANCE-1-012,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-000000-001-000-23,O-20240526-040000-001-000-24,SELL,FLAT,0.000000,0.072300,2024-05-26 00:00:00+00:00,1716696000000000000,2024-05-26 04:00:00+00:00,14400000000000.0,69156.0,68974.0,['9.98679900 USDT'],0.00263,3.17180100 USDT
BINANCE-1-013,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-040000-001-000-25,O-20240526-050000-001-000-26,BUY,FLAT,0.000000,0.072491,2024-05-26 04:00:00+00:00,1716699600000000000,2024-05-26 05:00:00+00:00,3600000000000.0,68974.0,69139.6,['10.01199297 USDT'],0.0024,1.99251663 USDT
BINANCE-1-014,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-050000-001-000-27,O-20240526-080000-001-000-28,SELL,FLAT,0.000000,0.072317,2024-05-26 05:00:00+00:00,1716710400000000000,2024-05-26 08:00:00+00:00,10800000000000.0,69139.6,68974.55,['9.98800098 USDT'],0.00239,1.94791987 USDT
BINANCE-1-015,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-080000-001-000-29,O-20240526-100000-001-000-30,BUY,FLAT,0.000000,0.072491,2024-05-26 08:00:00+00:00,1716717600000000000,2024-05-26 10:00:00+00:00,7200000000000.0,68974.55,68993.21,['10.00142089 USDT'],0.00027,-8.64873883 USDT
BINANCE-1-016,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-100000-001-000-31,O-20240526-120000-001-000-32,SELL,FLAT,0.000000,0.072471,2024-05-26 10:00:00+00:00,1716724800000000000,2024-05-26 12:00:00+00:00,7200000000000.0,68993.21,69312.3,['10.02313861 USDT'],-0.00462,-33.14791000 USDT
