client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240523-200000-001-000-1,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,BINANCE-1-001,MARKET,SELL,0.073743,GTC,False,False,0.073743,TAKER,67802.89,0.0,['4.99998852 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a7200d0a-11ed-40e5-98c8-e4ac3ee959af,2024-05-23 20:00:00+00:00,2024-05-23 20:00:00+00:00
O-20240523-210000-001-000-2,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,BINANCE-1-002,MARKET,BUY,0.073743,GTC,True,False,0.073743,TAKER,67540.0,0.0,['4.98060222 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c1e09451-61cf-4b5d-a61e-acc4f1fe8c0b,2024-05-23 21:00:00+00:00,2024-05-23 21:00:00+00:00
O-20240523-210000-001-000-3,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-003,BINANCE-1-002,BINANCE-001,BINANCE-1-003,MARKET,BUY,0.074030,GTC,False,False,0.074030,TAKER,67540.0,0.0,['4.99998620 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,476964ee-2779-464a-bd4d-03eca620b63f,2024-05-23 21:00:00+00:00,2024-05-23 21:00:00+00:00
O-20240523-220000-001-000-4,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-004,BINANCE-1-002,BINANCE-001,BINANCE-1-004,MARKET,SELL,0.074030,GTC,True,False,0.074030,TAKER,68000.0,0.0,['5.03404000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1c98d47e-fe63-4923-adf4-e6fe0cb40676,2024-05-23 22:00:00+00:00,2024-05-23 22:00:00+00:00
O-20240523-220000-001-000-5,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-005,BINANCE-1-003,BINANCE-001,BINANCE-1-005,MARKET,SELL,0.073529,GTC,False,False,0.073529,TAKER,68000.0,0.0,['4.99997200 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,181127b8-7e56-496e-b327-e7fe72562a89,2024-05-23 22:00:00+00:00,2024-05-23 22:00:00+00:00
O-20240524-050000-001-000-6,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-006,BINANCE-1-003,BINANCE-001,BINANCE-1-006,MARKET,BUY,0.073529,GTC,True,False,0.073529,TAKER,67299.99,0.0,['4.94850096 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,32039f75-0948-486b-aebc-f862bd68cbd2,2024-05-24 05:00:00+00:00,2024-05-24 05:00:00+00:00
O-20240524-050000-001-000-7,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-007,BINANCE-1-004,BINANCE-001,BINANCE-1-007,MARKET,BUY,0.074294,GTC,False,False,0.074294,TAKER,67299.99,0.0,['4.99998546 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d16f54bc-c18e-454d-8ae0-39af2733ade2,2024-05-24 05:00:00+00:00,2024-05-24 05:00:00+00:00
O-20240524-060000-001-000-8,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-008,BINANCE-1-004,BINANCE-001,BINANCE-1-008,MARKET,SELL,0.074294,GTC,True,False,0.074294,TAKER,67190.149999999,0.0,['4.99182500 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4482e9c6-3235-440c-a6d7-90d7dee9dcc5,2024-05-24 06:00:00+00:00,2024-05-24 06:00:00+00:00
O-20240524-060000-001-000-9,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-009,BINANCE-1-005,BINANCE-001,BINANCE-1-009,MARKET,SELL,0.074416,GTC,False,False,0.074416,TAKER,67190.149999999,0.0,['5.00002220 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,14eb414d-fe23-42c9-9eef-b3977d06ebd7,2024-05-24 06:00:00+00:00,2024-05-24 06:00:00+00:00
O-20240524-070000-001-000-10,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-010,BINANCE-1-005,BINANCE-001,BINANCE-1-010,MARKET,BUY,0.074416,GTC,True,False,0.074416,TAKER,67155.929999999,0.0,['4.99747569 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a3e1c004-40a6-4194-b5a0-e9f3b17558e7,2024-05-24 07:00:00+00:00,2024-05-24 07:00:00+00:00
