client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240401-210000-001-000-1,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,BINANCE-1-001,MARKET,SELL,0.071555,GTC,False,False,0.071555,TAKER,69876.039999999,0.0,['4.99998004 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,185e5160-dd3d-4b24-a384-78f81640a484,2024-04-01 21:00:00+00:00,2024-04-01 21:00:00+00:00
O-20240402-010000-001-000-2,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,BINANCE-1-002,MARKET,BUY,0.071555,GTC,True,False,0.071555,TAKER,66000.0,0.0,['4.72263000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,55fe3656-fdf6-4de0-bcde-c21812705203,2024-04-02 01:00:00+00:00,2024-04-02 01:00:00+00:00
O-20240402-010000-001-000-3,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-003,BINANCE-1-002,BINANCE-001,BINANCE-1-003,MARKET,BUY,0.075758,GTC,False,False,0.075758,TAKER,66000.0,0.0,['5.00002800 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,12d5e0c4-1296-4f50-97ba-209257daa40d,2024-04-02 01:00:00+00:00,2024-04-02 01:00:00+00:00
O-20240402-020000-001-000-4,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-004,BINANCE-1-002,BINANCE-001,BINANCE-1-004,MARKET,SELL,0.075758,GTC,True,False,0.075758,TAKER,66592.09,0.0,['5.04488355 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c271fff1-bc34-4e19-b0a6-daf2c425702e,2024-04-02 02:00:00+00:00,2024-04-02 02:00:00+00:00
O-20240402-020000-001-000-5,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-005,BINANCE-1-003,BINANCE-001,BINANCE-1-005,MARKET,SELL,0.075084,GTC,False,False,0.075084,TAKER,66592.09,0.0,['5.00000049 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ad170454-6fb1-4174-b0fa-3985d8e6fc01,2024-04-02 02:00:00+00:00,2024-04-02 02:00:00+00:00
O-20240402-060000-001-000-6,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-006,BINANCE-1-003,BINANCE-001,BINANCE-1-006,MARKET,BUY,0.075084,GTC,True,False,0.075084,TAKER,66446.22,0.0,['4.98904798 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6a8bc73f-ae61-4c58-8353-706bdfafd173,2024-04-02 06:00:00+00:00,2024-04-02 06:00:00+00:00
O-20240402-060000-001-000-7,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-007,BINANCE-1-004,BINANCE-001,BINANCE-1-007,MARKET,BUY,0.075249,GTC,False,False,0.075249,TAKER,66446.22,0.0,['5.00001161 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ac47c26c-5559-4887-ae4e-d7f6c0ac5e83,2024-04-02 06:00:00+00:00,2024-04-02 06:00:00+00:00
O-20240402-080000-001-000-8,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-008,BINANCE-1-004,BINANCE-001,BINANCE-1-008,MARKET,SELL,0.075249,GTC,True,False,0.075249,TAKER,66240.02,0.0,['4.98449526 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,29e332c0-07ee-41cf-9da9-0d5c58b16aab,2024-04-02 08:00:00+00:00,2024-04-02 08:00:00+00:00
O-20240402-080000-001-000-9,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-009,BINANCE-1-005,BINANCE-001,BINANCE-1-009,MARKET,SELL,0.075483,GTC,False,False,0.075483,TAKER,66240.02,0.0,['4.99999543 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,660bcd6e-91b8-4f31-bd96-2a3ed7229d00,2024-04-02 08:00:00+00:00,2024-04-02 08:00:00+00:00
O-20240402-110000-001-000-10,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-010,BINANCE-1-005,BINANCE-001,BINANCE-1-010,MARKET,BUY,0.075483,GTC,True,False,0.075483,TAKER,65448.84,0.0,['4.94027479 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a061092c-6f17-4952-97be-0b0751118541,2024-04-02 11:00:00+00:00,2024-04-02 11:00:00+00:00
O-20240402-110000-001-000-11,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-011,BINANCE-1-006,BINANCE-001,BINANCE-1-011,MARKET,BUY,0.076396,GTC,False,False,0.076396,TAKER,65448.84,0.0,['5.00002958 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e5033cd6-3d29-419f-9332-1bc05bab7d9b,2024-04-02 11:00:00+00:00,2024-04-02 11:00:00+00:00
O-20240402-130000-001-000-12,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-012,BINANCE-1-006,BINANCE-001,BINANCE-1-012,MARKET,SELL,0.076396,GTC,True,False,0.076396,TAKER,64889.99,0.0,['4.95733568 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1aa02d90-a4b9-41f4-a081-1d87b285745e,2024-04-02 13:00:00+00:00,2024-04-02 13:00:00+00:00
O-20240402-130000-001-000-13,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-013,BINANCE-1-007,BINANCE-001,BINANCE-1-013,MARKET,SELL,0.077053,GTC,False,False,0.077053,TAKER,64889.99,0.0,['4.99996840 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,555d3d04-a780-48c4-9e11-734936fcbad5,2024-04-02 13:00:00+00:00,2024-04-02 13:00:00+00:00
O-20240402-140000-001-000-14,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-014,BINANCE-1-007,BINANCE-001,BINANCE-1-014,MARKET,BUY,0.077053,GTC,True,False,0.077053,TAKER,65543.91,0.0,['5.05035490 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5745a7ec-de09-4341-b181-35347352ea92,2024-04-02 14:00:00+00:00,2024-04-02 14:00:00+00:00
O-20240402-140000-001-000-15,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-015,BINANCE-1-008,BINANCE-001,BINANCE-1-015,MARKET,BUY,0.076285,GTC,False,False,0.076285,TAKER,65543.91,0.0,['5.00001717 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,866c1355-e67a-432e-8bee-21643ce4b5a5,2024-04-02 14:00:00+00:00,2024-04-02 14:00:00+00:00
O-20240402-190000-001-000-16,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-016,BINANCE-1-008,BINANCE-001,BINANCE-1-016,MARKET,SELL,0.076285,GTC,True,False,0.076285,TAKER,65692.77,0.0,['5.01137296 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5ac45f05-7023-4945-91c6-cf8e8aa9db30,2024-04-02 19:00:00+00:00,2024-04-02 19:00:00+00:00
O-20240402-190000-001-000-17,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-017,BINANCE-1-009,BINANCE-001,BINANCE-1-017,MARKET,SELL,0.076112,GTC,False,False,0.076112,TAKER,65692.77,0.0,['5.00000811 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8548fa06-dd0a-4723-a096-54135c359003,2024-04-02 19:00:00+00:00,2024-04-02 19:00:00+00:00
O-20240402-220000-001-000-18,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-018,BINANCE-1-009,BINANCE-001,BINANCE-1-018,MARKET,BUY,0.076112,GTC,True,False,0.076112,TAKER,65388.0,0.0,['4.97681146 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5df7f313-dbd6-4b34-b24c-f8c240b7c41b,2024-04-02 22:00:00+00:00,2024-04-02 22:00:00+00:00
O-20240402-220000-001-000-19,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-019,BINANCE-1-010,BINANCE-001,BINANCE-1-019,MARKET,BUY,0.076467,GTC,False,False,0.076467,TAKER,65388.0,0.0,['5.00002420 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,72b52826-43ca-4f48-951b-4fdf95182dac,2024-04-02 22:00:00+00:00,2024-04-02 22:00:00+00:00
O-20240402-230000-001-000-20,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-020,BINANCE-1-010,BINANCE-001,BINANCE-1-020,MARKET,SELL,0.076467,GTC,True,False,0.076467,TAKER,64493.07,0.0,['4.93159158 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,84d1276b-6914-47d6-b331-2435e51d850e,2024-04-02 23:00:00+00:00,2024-04-02 23:00:00+00:00
O-20240402-230000-001-000-21,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-021,BINANCE-1-011,BINANCE-001,BINANCE-1-021,MARKET,SELL,0.077528,GTC,False,False,0.077528,TAKER,64493.07,0.0,['5.00001873 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0e05c2d1-1288-4f1e-a82b-a09b470fcc29,2024-04-02 23:00:00+00:00,2024-04-02 23:00:00+00:00
O-20240403-020000-001-000-22,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-022,BINANCE-1-011,BINANCE-001,BINANCE-1-022,MARKET,BUY,0.077528,GTC,True,False,0.077528,TAKER,65906.49,0.0,['5.10959836 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6f6045ef-fc06-40b9-a8e8-3d4ef80781a2,2024-04-03 02:00:00+00:00,2024-04-03 02:00:00+00:00
O-20240403-020000-001-000-23,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-023,BINANCE-1-012,BINANCE-001,BINANCE-1-023,MARKET,BUY,0.075865,GTC,False,False,0.075865,TAKER,65906.49,0.0,['4.99999586 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,81275825-a546-4c5d-bf4f-b8e49602090e,2024-04-03 02:00:00+00:00,2024-04-03 02:00:00+00:00
O-20240403-080000-001-000-24,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-024,BINANCE-1-012,BINANCE-001,BINANCE-1-024,MARKET,SELL,0.075865,GTC,True,False,0.075865,TAKER,66518.039999999,0.0,['5.04639110 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b6ec068c-0223-4a30-abd4-87d0e2d76cdd,2024-04-03 08:00:00+00:00,2024-04-03 08:00:00+00:00
O-20240403-080000-001-000-25,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-025,BINANCE-1-013,BINANCE-001,BINANCE-1-025,MARKET,SELL,0.075168,GTC,False,False,0.075168,TAKER,66518.039999999,0.0,['5.00002803 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1761e185-4c89-4800-9ca9-6a5de658bf99,2024-04-03 08:00:00+00:00,2024-04-03 08:00:00+00:00
O-20240403-090000-001-000-26,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-026,BINANCE-1-013,BINANCE-001,BINANCE-1-026,MARKET,BUY,0.075168,GTC,True,False,0.075168,TAKER,66020.0,0.0,['4.96259136 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,97a17b79-8550-458e-a405-b990d0b9c8de,2024-04-03 09:00:00+00:00,2024-04-03 09:00:00+00:00
O-20240403-090000-001-000-27,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-027,BINANCE-1-014,BINANCE-001,BINANCE-1-027,MARKET,BUY,0.075735,GTC,False,False,0.075735,TAKER,66020.0,0.0,['5.00002470 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ae894c94-3d28-45a1-b485-b5fcff551b7f,2024-04-03 09:00:00+00:00,2024-04-03 09:00:00+00:00
