client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240910-120000-001-000-775,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-775,BINANCE-1-388,BINANCE-001,BINANCE-1-775,MARKET,SELL,0.087810,GTC,False,False,0.087810,TAKER,56941.09,0.0,['4.99999711 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,609f7d33-6608-4c99-be42-74796af3ccc3,2024-09-10 12:00:00+00:00,2024-09-10 12:00:00+00:00
O-20240911-050000-001-000-776,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-776,BINANCE-1-388,BINANCE-001,BINANCE-1-776,MARKET,BUY,0.087810,GTC,True,False,0.087810,TAKER,56712.01,0.0,['4.97988160 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8be85327-2944-4142-9300-cfe7e62905c2,2024-09-11 05:00:00+00:00,2024-09-11 05:00:00+00:00
O-20240911-050000-001-000-777,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-777,BINANCE-1-389,BINANCE-001,BINANCE-1-777,MARKET,BUY,0.088165,GTC,False,False,0.088165,TAKER,56712.01,0.0,['5.00001436 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d84dce42-58ec-4fd2-aeac-d3e70ef0b164,2024-09-11 05:00:00+00:00,2024-09-11 05:00:00+00:00
O-20240911-120000-001-000-778,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-778,BINANCE-1-389,BINANCE-001,BINANCE-1-778,MARKET,SELL,0.088165,GTC,True,False,0.088165,TAKER,56024.0,0.0,['4.93935596 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d81bf8d9-29ae-4691-9c2d-75d8ea4f7c2f,2024-09-11 12:00:00+00:00,2024-09-11 12:00:00+00:00
O-20240911-120000-001-000-779,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-779,BINANCE-1-390,BINANCE-001,BINANCE-1-779,MARKET,SELL,0.089247,GTC,False,False,0.089247,TAKER,56024.0,0.0,['4.99997393 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d64813a9-f4b1-428a-800e-c526ba6e5ca7,2024-09-11 12:00:00+00:00,2024-09-11 12:00:00+00:00
O-20240912-050000-001-000-780,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-780,BINANCE-1-390,BINANCE-001,BINANCE-1-780,MARKET,BUY,0.089247,GTC,True,False,0.089247,TAKER,58138.15,0.0,['5.18865547 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f620553a-a72d-4199-bcfe-621c6679187f,2024-09-12 05:00:00+00:00,2024-09-12 05:00:00+00:00
O-20240912-050000-001-000-781,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-781,BINANCE-1-391,BINANCE-001,BINANCE-1-781,MARKET,BUY,0.086002,GTC,False,False,0.086002,TAKER,58138.15,0.0,['4.99999718 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fa667902-21e4-4d56-9416-cb2aea67aee0,2024-09-12 05:00:00+00:00,2024-09-12 05:00:00+00:00
O-20240913-020000-001-000-782,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-782,BINANCE-1-391,BINANCE-001,BINANCE-1-782,MARKET,SELL,0.086002,GTC,True,False,0.086002,TAKER,57844.0,0.0,['4.97469969 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0084249b-31a0-4971-ac74-1b0105ff3017,2024-09-13 02:00:00+00:00,2024-09-13 02:00:00+00:00
O-20240913-020000-001-000-783,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-783,BINANCE-1-392,BINANCE-001,BINANCE-1-783,MARKET,SELL,0.086439,GTC,False,False,0.086439,TAKER,57844.0,0.0,['4.99997752 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ca7974e0-c8e8-4aa2-9fc7-df3f8a8327df,2024-09-13 02:00:00+00:00,2024-09-13 02:00:00+00:00
O-20240913-120000-001-000-784,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-784,BINANCE-1-392,BINANCE-001,BINANCE-1-784,MARKET,BUY,0.086439,GTC,True,False,0.086439,TAKER,57686.67,0.0,['4.98637807 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d1205c46-3a62-4b26-99bd-8c76dcf49b40,2024-09-13 12:00:00+00:00,2024-09-13 12:00:00+00:00
