client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240401-200000-001-000-1,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,BINANCE-1-001,MARKET,BUY,0.071578,GTC,False,False,0.071578,TAKER,69853.869999999,0.0,['5.00000031 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,476e3349-a505-48fc-be31-3a3deca26264,2024-04-01 20:00:00+00:00,2024-04-01 20:00:00+00:00
O-20240401-230000-001-000-2,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,BINANCE-1-002,MARKET,SELL,0.071578,GTC,True,False,0.071578,TAKER,69040.0,0.0,['4.94174512 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4a3ad48c-69f6-44ef-8c9f-27727fe60b21,2024-04-01 23:00:00+00:00,2024-04-01 23:00:00+00:00
O-20240401-230000-001-000-3,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-003,BINANCE-1-002,BINANCE-001,BINANCE-1-003,MARKET,SELL,0.072422,GTC,False,False,0.072422,TAKER,69040.0,0.0,['5.00001488 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e4480090-c248-4837-aed4-a83f2c651f3d,2024-04-01 23:00:00+00:00,2024-04-01 23:00:00+00:00
O-20240402-040000-001-000-4,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-004,BINANCE-1-002,BINANCE-001,BINANCE-1-004,MARKET,BUY,0.072422,GTC,True,False,0.072422,TAKER,66120.75,0.0,['4.78859696 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4a9e804b-4c78-4020-8b56-9ace36e0d698,2024-04-02 04:00:00+00:00,2024-04-02 04:00:00+00:00
O-20240402-040000-001-000-5,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-005,BINANCE-1-003,BINANCE-001,BINANCE-1-005,MARKET,BUY,0.075619,GTC,False,False,0.075619,TAKER,66120.75,0.0,['4.99998499 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,efaae5ae-831d-46aa-9815-b115021eaae9,2024-04-02 04:00:00+00:00,2024-04-02 04:00:00+00:00
O-20240402-120000-001-000-6,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-006,BINANCE-1-003,BINANCE-001,BINANCE-1-006,MARKET,SELL,0.075619,GTC,True,False,0.075619,TAKER,66249.83,0.0,['5.00974589 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,16752b50-4356-41be-8346-387d730496f1,2024-04-02 12:00:00+00:00,2024-04-02 12:00:00+00:00
O-20240402-120000-001-000-7,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-007,BINANCE-1-004,BINANCE-001,BINANCE-1-007,MARKET,SELL,0.075472,GTC,False,False,0.075472,TAKER,66249.83,0.0,['5.00000717 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d9336d2b-e813-4aff-b8d1-ad2c66d625c0,2024-04-02 12:00:00+00:00,2024-04-02 12:00:00+00:00
O-20240402-190000-001-000-8,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-008,BINANCE-1-004,BINANCE-001,BINANCE-1-008,MARKET,BUY,0.075472,GTC,True,False,0.075472,TAKER,65692.77,0.0,['4.95796474 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e8f41f9c-c38b-4355-8729-6675241be6d0,2024-04-02 19:00:00+00:00,2024-04-02 19:00:00+00:00
O-20240402-190000-001-000-9,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-009,BINANCE-1-005,BINANCE-001,BINANCE-1-009,MARKET,BUY,0.076112,GTC,False,False,0.076112,TAKER,65692.77,0.0,['5.00000811 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d78118c3-4f59-4237-bb15-dfcdab36351a,2024-04-02 19:00:00+00:00,2024-04-02 19:00:00+00:00
O-20240403-000000-001-000-10,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-010,BINANCE-1-005,BINANCE-001,BINANCE-1-010,MARKET,SELL,0.076112,GTC,True,False,0.076112,TAKER,65387.99,0.0,['4.97681069 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9d3aa328-8032-424e-b456-d4ff298d8098,2024-04-03 00:00:00+00:00,2024-04-03 00:00:00+00:00
O-20240403-000000-001-000-11,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-011,BINANCE-1-006,BINANCE-001,BINANCE-1-011,MARKET,SELL,0.076467,GTC,False,False,0.076467,TAKER,65387.99,0.0,['5.00002343 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f291c059-0888-4928-8008-1cbe3dc92a37,2024-04-03 00:00:00+00:00,2024-04-03 00:00:00+00:00
O-20240403-120000-001-000-12,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-012,BINANCE-1-006,BINANCE-001,BINANCE-1-012,MARKET,BUY,0.076467,GTC,True,False,0.076467,TAKER,65635.009999999,0.0,['5.01891231 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f92006dc-0b6d-422c-84c4-76c4154f95b6,2024-04-03 12:00:00+00:00,2024-04-03 12:00:00+00:00
O-20240403-120000-001-000-13,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-013,BINANCE-1-007,BINANCE-001,BINANCE-1-013,MARKET,BUY,0.076179,GTC,False,False,0.076179,TAKER,65635.009999999,0.0,['5.00000943 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6b0514e3-e231-4355-b711-4c8208054f9e,2024-04-03 12:00:00+00:00,2024-04-03 12:00:00+00:00
O-20240403-190000-001-000-14,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-014,BINANCE-1-007,BINANCE-001,BINANCE-1-014,MARKET,SELL,0.076179,GTC,True,False,0.076179,TAKER,65935.479999999,0.0,['5.02289893 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4c913971-f83a-4635-9625-d167a9b50f06,2024-04-03 19:00:00+00:00,2024-04-03 19:00:00+00:00
O-20240403-190000-001-000-15,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-015,BINANCE-1-008,BINANCE-001,BINANCE-1-015,MARKET,SELL,0.075832,GTC,False,False,0.075832,TAKER,65935.479999999,0.0,['5.00001932 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e7cc7fb6-baef-4abc-9503-9667e5182cd6,2024-04-03 19:00:00+00:00,2024-04-03 19:00:00+00:00
O-20240403-220000-001-000-16,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-016,BINANCE-1-008,BINANCE-001,BINANCE-1-016,MARKET,BUY,0.075832,GTC,True,False,0.075832,TAKER,66354.83,0.0,['5.03181947 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,459d7c0a-d8e2-4693-9a62-fa2cc0b9b90f,2024-04-03 22:00:00+00:00,2024-04-03 22:00:00+00:00
O-20240403-220000-001-000-17,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-017,BINANCE-1-009,BINANCE-001,BINANCE-1-017,MARKET,BUY,0.075352,GTC,False,False,0.075352,TAKER,66354.83,0.0,['4.99996915 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f1accc92-f107-4223-9825-c86a8e9855ce,2024-04-03 22:00:00+00:00,2024-04-03 22:00:00+00:00
O-20240404-050000-001-000-18,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-018,BINANCE-1-009,BINANCE-001,BINANCE-1-018,MARKET,SELL,0.075352,GTC,True,False,0.075352,TAKER,66290.32,0.0,['4.99510819 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d3768b1e-9757-4d60-9e40-28defc0897cd,2024-04-04 05:00:00+00:00,2024-04-04 05:00:00+00:00
O-20240404-050000-001-000-19,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-019,BINANCE-1-010,BINANCE-001,BINANCE-1-019,MARKET,SELL,0.075426,GTC,False,False,0.075426,TAKER,66290.32,0.0,['5.00001368 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c5f674df-e2a9-452e-8a07-b3a6cbd271ba,2024-04-04 05:00:00+00:00,2024-04-04 05:00:00+00:00
O-20240404-090000-001-000-20,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-020,BINANCE-1-010,BINANCE-001,BINANCE-1-020,MARKET,BUY,0.075426,GTC,True,False,0.075426,TAKER,66273.369999999,0.0,['4.99873521 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,30af439d-6da1-4be8-a9e5-10609519eb5c,2024-04-04 09:00:00+00:00,2024-04-04 09:00:00+00:00
O-20240404-090000-001-000-21,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-021,BINANCE-1-011,BINANCE-001,BINANCE-1-021,MARKET,BUY,0.075445,GTC,False,False,0.075445,TAKER,66273.369999999,0.0,['4.99999440 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,42793678-fde5-4241-bc17-02f69bb1a01d,2024-04-04 09:00:00+00:00,2024-04-04 09:00:00+00:00
O-20240404-110000-001-000-22,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-022,BINANCE-1-011,BINANCE-001,BINANCE-1-022,MARKET,SELL,0.075445,GTC,True,False,0.075445,TAKER,66353.67,0.0,['5.00605263 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,21a13b86-b716-470f-98bb-cc9fb6336222,2024-04-04 11:00:00+00:00,2024-04-04 11:00:00+00:00
O-20240404-110000-001-000-23,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-023,BINANCE-1-012,BINANCE-001,BINANCE-1-023,MARKET,SELL,0.075354,GTC,False,False,0.075354,TAKER,66353.67,0.0,['5.00001445 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,924d4f88-30f2-4b68-9be8-ebdbb80d51ad,2024-04-04 11:00:00+00:00,2024-04-04 11:00:00+00:00
O-20240404-220000-001-000-24,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-024,BINANCE-1-012,BINANCE-001,BINANCE-1-024,MARKET,BUY,0.075354,GTC,True,False,0.075354,TAKER,67889.2,0.0,['5.11572278 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4daa0407-55ee-4df9-b96e-a7dd51b15550,2024-04-04 22:00:00+00:00,2024-04-04 22:00:00+00:00
O-20240404-220000-001-000-25,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-025,BINANCE-1-013,BINANCE-001,BINANCE-1-025,MARKET,BUY,0.073649,GTC,False,False,0.073649,TAKER,67889.2,0.0,['4.99997169 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,418082d3-acb9-43f1-abed-2c3154e86563,2024-04-04 22:00:00+00:00,2024-04-04 22:00:00+00:00
