position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-210000-001-000-1,O-20240401-230000-001-000-2,BUY,FLAT,0.000000,0.071555,2024-04-01 21:00:00+00:00,1712012400000000000,2024-04-01 23:00:00+00:00,7200000000000.0,69876.039999999,69040.0,['9.94013724 USDT'],-0.01196,-69.76297944 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-230000-001-000-3,O-20240402-010000-001-000-4,SELL,FLAT,0.000000,0.072422,2024-04-01 23:00:00+00:00,1712019600000000000,2024-04-02 01:00:00+00:00,7200000000000.0,69040.0,66000.0,['9.77986688 USDT'],0.04403,210.38301312 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-010000-001-000-5,O-20240402-020000-001-000-6,BUY,FLAT,0.000000,0.075758,2024-04-02 01:00:00+00:00,1712023200000000000,2024-04-02 02:00:00+00:00,3600000000000.0,66000.0,66592.09,['10.04491155 USDT'],0.00897,34.81064267 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-020000-001-000-7,O-20240402-040000-001-000-8,SELL,FLAT,0.000000,0.075084,2024-04-02 02:00:00+00:00,1712030400000000000,2024-04-02 04:00:00+00:00,7200000000000.0,66592.09,66120.75,['9.96461088 USDT'],0.00708,25.42548168 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-040000-001-000-9,O-20240402-050000-001-000-10,BUY,FLAT,0.000000,0.075619,2024-04-02 04:00:00+00:00,1712034000000000000,2024-04-02 05:00:00+00:00,3600000000000.0,66120.75,66700.0,['10.04377229 USDT'],0.00876,33.75853346 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-050000-001-000-11,O-20240402-110000-001-000-12,SELL,FLAT,0.000000,0.074963,2024-04-02 05:00:00+00:00,1712055600000000000,2024-04-02 11:00:00+00:00,21600000000000.0,66700.0,65448.84,['9.90627349 USDT'],0.01876,83.88443359 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-110000-001-000-13,O-20240402-120000-001-000-14,BUY,FLAT,0.000000,0.076396,2024-04-02 11:00:00+00:00,1712059200000000000,2024-04-02 12:00:00+00:00,3600000000000.0,65448.84,66249.83,['10.06125159 USDT'],0.01224,51.13118045 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-120000-001-000-15,O-20240402-150000-001-000-16,SELL,FLAT,0.000000,0.075472,2024-04-02 12:00:00+00:00,1712070000000000000,2024-04-02 15:00:00+00:00,10800000000000.0,66249.83,64550.0,['9.87172477 USDT'],0.02566,118.41784499 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-150000-001-000-17,O-20240402-170000-001-000-18,BUY,FLAT,0.000000,0.077459,2024-04-02 15:00:00+00:00,1712077200000000000,2024-04-02 17:00:00+00:00,7200000000000.0,64550.0,65608.009999999,['10.08190930 USDT'],0.01639,71.87048729 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-170000-001-000-19,O-20240402-210000-001-000-20,SELL,FLAT,0.000000,0.076210,2024-04-02 17:00:00+00:00,1712091600000000000,2024-04-02 21:00:00+00:00,14400000000000.0,65608.009999999,65830.0,['10.01689074 USDT'],-0.00338,-26.93474864 USDT
