position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-200000-001-000-1,O-20240401-230000-001-000-2,BUY,FLAT,0.000000,0.071578,2024-04-01 20:00:00+00:00,1712012400000000000,2024-04-01 23:00:00+00:00,10800000000000.0,69853.869999999,69040.0,['9.94174543 USDT'],-0.01165,-68.19693229 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-230000-001-000-3,O-20240402-010000-001-000-4,SELL,FLAT,0.000000,0.072422,2024-04-01 23:00:00+00:00,1712019600000000000,2024-04-02 01:00:00+00:00,7200000000000.0,69040.0,66000.0,['9.77986688 USDT'],0.04403,210.38301312 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-010000-001-000-5,O-20240402-050000-001-000-6,BUY,FLAT,0.000000,0.075758,2024-04-02 01:00:00+00:00,1712034000000000000,2024-04-02 05:00:00+00:00,14400000000000.0,66000.0,66700.0,['10.05308660 USDT'],0.01061,42.97751340 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-050000-001-000-7,O-20240402-070000-001-000-8,SELL,FLAT,0.000000,0.074963,2024-04-02 05:00:00+00:00,1712041200000000000,2024-04-02 07:00:00+00:00,7200000000000.0,66700.0,66106.58,['9.95557966 USDT'],0.0089,34.52896380 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-070000-001-000-9,O-20240402-080000-001-000-10,BUY,FLAT,0.000000,0.075635,2024-04-02 07:00:00+00:00,1712044800000000000,2024-04-02 08:00:00+00:00,3600000000000.0,66106.58,66240.02,['10.01003509 USDT'],0.00202,0.08269931 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-080000-001-000-11,O-20240402-090000-001-000-12,SELL,FLAT,0.000000,0.075483,2024-04-02 08:00:00+00:00,1712048400000000000,2024-04-02 09:00:00+00:00,3600000000000.0,66240.02,65622.69,['9.95339294 USDT'],0.00932,36.64452745 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-090000-001-000-13,O-20240402-120000-001-000-14,BUY,FLAT,0.000000,0.076193,2024-04-02 09:00:00+00:00,1712059200000000000,2024-04-02 12:00:00+00:00,10800000000000.0,65622.69,66249.83,['10.04776292 USDT'],0.00956,37.73591510 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-120000-001-000-15,O-20240402-140000-001-000-16,SELL,FLAT,0.000000,0.075472,2024-04-02 12:00:00+00:00,1712066400000000000,2024-04-02 14:00:00+00:00,7200000000000.0,66249.83,65543.91,['9.94673715 USDT'],0.01066,43.33045709 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-140000-001-000-17,O-20240402-160000-001-000-18,BUY,FLAT,0.000000,0.076285,2024-04-02 14:00:00+00:00,1712073600000000000,2024-04-02 16:00:00+00:00,7200000000000.0,65543.91,65811.009999999,['10.02041007 USDT'],0.00408,10.35531343 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-160000-001-000-19,O-20240402-200000-001-000-20,SELL,FLAT,0.000000,0.075975,2024-04-02 16:00:00+00:00,1712088000000000000,2024-04-02 20:00:00+00:00,14400000000000.0,65811.009999999,65933.759999999,['10.00930890 USDT'],-0.00187,-19.33524015 USDT
