position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-190000-001-000-1,O-20240523-230000-001-000-2,BUY,FLAT,0.000000,0.073537,2024-05-23 19:00:00+00:00,1716505200000000000,2024-05-23 23:00:00+00:00,14400000000000.0,67992.78,67969.649999999,['9.99826921 USDT'],-0.00034,-11.69918002 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-230000-001-000-3,O-20240524-000000-001-000-4,SELL,FLAT,0.000000,0.073562,2024-05-23 23:00:00+00:00,1716508800000000000,2024-05-24 00:00:00+00:00,3600000000000.0,67969.649999999,67657.55,['9.97700808 USDT'],0.00459,12.98169212 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-000000-001-000-5,O-20240524-020000-001-000-6,BUY,FLAT,0.000000,0.073902,2024-05-24 00:00:00+00:00,1716516000000000000,2024-05-24 02:00:00+00:00,7200000000000.0,67657.55,67978.369999999,['10.02376576 USDT'],0.00474,13.68547388 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-020000-001-000-7,O-20240524-050000-001-000-8,SELL,FLAT,0.000000,0.073553,2024-05-24 02:00:00+00:00,1716526800000000000,2024-05-24 05:00:00+00:00,10800000000000.0,67978.369999999,67299.99,['9.95012921 USDT'],0.00998,39.94675493 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-050000-001-000-9,O-20240524-060000-001-000-10,BUY,FLAT,0.000000,0.074294,2024-05-24 05:00:00+00:00,1716530400000000000,2024-05-24 06:00:00+00:00,3600000000000.0,67299.99,67190.149999999,['9.99181046 USDT'],-0.00163,-18.15226342 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-060000-001-000-11,O-20240524-230000-001-000-12,SELL,FLAT,0.000000,0.074416,2024-05-24 06:00:00+00:00,1716591600000000000,2024-05-24 23:00:00+00:00,61200000000000.0,67190.149999999,68613.45,['10.10596070 USDT'],-0.02118,-116.02225350 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-230000-001-000-13,O-20240525-060000-001-000-14,BUY,FLAT,0.000000,0.072872,2024-05-24 23:00:00+00:00,1716616800000000000,2024-05-25 06:00:00+00:00,25200000000000.0,68613.45,69059.35,['10.03249228 USDT'],0.0065,22.46113252 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-060000-001-000-15,O-20240525-100000-001-000-16,SELL,FLAT,0.000000,0.072401,2024-05-25 06:00:00+00:00,1716631200000000000,2024-05-25 10:00:00+00:00,14400000000000.0,69059.35,69104.67,['10.00321321 USDT'],-0.00066,-13.28442653 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-100000-001-000-17,O-20240525-180000-001-000-18,BUY,FLAT,0.000000,0.072354,2024-05-25 10:00:00+00:00,1716660000000000000,2024-05-25 18:00:00+00:00,28800000000000.0,69104.67,69100.0,['9.99966069 USDT'],-7e-05,-10.33755387 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-180000-001-000-19,O-20240525-200000-001-000-20,SELL,FLAT,0.000000,0.072359,2024-05-25 18:00:00+00:00,1716667200000000000,2024-05-25 20:00:00+00:00,7200000000000.0,69100.0,69159.539999999,['10.00432205 USDT'],-0.00086,-14.31257691 USDT
