position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-210000-001-000-1,O-20240402-010000-001-000-2,SELL,FLAT,0.000000,0.071555,2024-04-01 21:00:00+00:00,1712019600000000000,2024-04-02 01:00:00+00:00,14400000000000.0,69876.039999999,66000.0,['9.72261004 USDT'],0.05547,267.62743216 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-010000-001-000-3,O-20240402-020000-001-000-4,BUY,FLAT,0.000000,0.075758,2024-04-02 01:00:00+00:00,1712023200000000000,2024-04-02 02:00:00+00:00,3600000000000.0,66000.0,66592.09,['10.04491155 USDT'],0.00897,34.81064267 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-020000-001-000-5,O-20240402-060000-001-000-6,SELL,FLAT,0.000000,0.075084,2024-04-02 02:00:00+00:00,1712037600000000000,2024-04-02 06:00:00+00:00,14400000000000.0,66592.09,66446.22,['9.98904847 USDT'],0.00219,0.96345461 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-060000-001-000-7,O-20240402-080000-001-000-8,BUY,FLAT,0.000000,0.075249,2024-04-02 06:00:00+00:00,1712044800000000000,2024-04-02 08:00:00+00:00,7200000000000.0,66446.22,66240.02,['9.98450687 USDT'],-0.0031,-25.50085067 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-080000-001-000-9,O-20240402-110000-001-000-10,SELL,FLAT,0.000000,0.075483,2024-04-02 08:00:00+00:00,1712055600000000000,2024-04-02 11:00:00+00:00,10800000000000.0,66240.02,65448.84,['9.94027022 USDT'],0.01194,49.78036972 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-110000-001-000-11,O-20240402-130000-001-000-12,BUY,FLAT,0.000000,0.076396,2024-04-02 11:00:00+00:00,1712062800000000000,2024-04-02 13:00:00+00:00,7200000000000.0,65448.84,64889.99,['9.95736526 USDT'],-0.00854,-52.65126986 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-130000-001-000-13,O-20240402-140000-001-000-14,SELL,FLAT,0.000000,0.077053,2024-04-02 13:00:00+00:00,1712066400000000000,2024-04-02 14:00:00+00:00,3600000000000.0,64889.99,65543.91,['10.05032330 USDT'],-0.01008,-60.43682106 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-140000-001-000-15,O-20240402-190000-001-000-16,BUY,FLAT,0.000000,0.076285,2024-04-02 14:00:00+00:00,1712084400000000000,2024-04-02 19:00:00+00:00,18000000000000.0,65543.91,65692.77,['10.01139013 USDT'],0.00227,1.34439497 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-190000-001-000-17,O-20240402-220000-001-000-18,SELL,FLAT,0.000000,0.076112,2024-04-02 19:00:00+00:00,1712095200000000000,2024-04-02 22:00:00+00:00,10800000000000.0,65692.77,65388.0,['9.97681957 USDT'],0.00464,13.21983467 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-220000-001-000-19,O-20240402-230000-001-000-20,BUY,FLAT,0.000000,0.076467,2024-04-02 22:00:00+00:00,1712098800000000000,2024-04-02 23:00:00+00:00,3600000000000.0,65388.0,64493.07,['9.93161578 USDT'],-0.01369,-78.36422809 USDT
