position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-190000-001-000-1,O-20240524-000000-001-000-2,BUY,FLAT,0.000000,0.073537,2024-05-23 19:00:00+00:00,1716508800000000000,2024-05-24 00:00:00+00:00,18000000000000.0,67992.78,67657.55,['9.97531831 USDT'],-0.00493,-34.62712682 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-000000-001-000-3,O-20240524-030000-001-000-4,SELL,FLAT,0.000000,0.073902,2024-05-24 00:00:00+00:00,1716519600000000000,2024-05-24 03:00:00+00:00,10800000000000.0,67657.55,67891.83,['10.01737028 USDT'],-0.00346,-27.33113084 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-030000-001-000-5,O-20240524-060000-001-000-6,BUY,FLAT,0.000000,0.073647,2024-05-24 03:00:00+00:00,1716530400000000000,2024-05-24 06:00:00+00:00,10800000000000.0,67891.83,67190.149999999,['9.94838258 USDT'],-0.01034,-61.62500954 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-060000-001-000-7,O-20240524-200000-001-000-8,SELL,FLAT,0.000000,0.074416,2024-05-24 06:00:00+00:00,1716580800000000000,2024-05-24 20:00:00+00:00,50400000000000.0,67190.149999999,68836.96,['10.12259342 USDT'],-0.02451,-132.67160638 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-200000-001-000-9,O-20240525-010000-001-000-10,BUY,FLAT,0.000000,0.072635,2024-05-24 20:00:00+00:00,1716598800000000000,2024-05-25 01:00:00+00:00,18000000000000.0,68836.96,68606.1,['9.98317666 USDT'],-0.00335,-26.75169276 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-010000-001-000-11,O-20240525-130000-001-000-12,SELL,FLAT,0.000000,0.072880,2024-05-25 01:00:00+00:00,1716642000000000000,2024-05-25 13:00:00+00:00,43200000000000.0,68606.1,68958.0,['10.02567161 USDT'],-0.00513,-35.67214361 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-130000-001-000-13,O-20240525-150000-001-000-14,BUY,FLAT,0.000000,0.072508,2024-05-25 13:00:00+00:00,1716649200000000000,2024-05-25 15:00:00+00:00,7200000000000.0,68958.0,68849.5,['9.99214621 USDT'],-0.00157,-17.85926421 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-150000-001-000-15,O-20240525-160000-001-000-16,SELL,FLAT,0.000000,0.072622,2024-05-25 15:00:00+00:00,1716652800000000000,2024-05-25 16:00:00+00:00,3600000000000.0,68849.5,68936.619999999,['10.00630361 USDT'],-0.00127,-16.33313225 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-160000-001-000-17,O-20240525-200000-001-000-18,BUY,FLAT,0.000000,0.072530,2024-05-25 16:00:00+00:00,1716667200000000000,2024-05-25 20:00:00+00:00,14400000000000.0,68936.619999999,69159.539999999,['10.01611449 USDT'],0.00323,6.15227311 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-200000-001-000-19,O-20240525-220000-001-000-20,SELL,FLAT,0.000000,0.072297,2024-05-25 20:00:00+00:00,1716674400000000000,2024-05-25 22:00:00+00:00,7200000000000.0,69159.539999999,69129.0,['9.99784657 USDT'],0.00044,-7.78989619 USDT
