,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2024-05-23 00:00:00+00:00,9995.00001494,0E-8,9995.00001494,USDT,BINANCE-001,MARGIN,,[],True,{}
2024-05-23 19:00:00+00:00,9995.00001494,0E-8,9995.00001494,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-23 23:00:00+00:00,9988.30081998,4.99998506,9983.30083492,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998506', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-23 23:00:00+00:00,9983.30083659,0E-8,9983.30083659,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-24 00:00:00+00:00,10001.28251210,4.99998339,9996.28252871,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998339', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-24 00:00:00+00:00,9996.28248384,0E-8,9996.28248384,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-24 02:00:00+00:00,10014.96798598,5.00002826,10009.96795772,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002826', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-24 02:00:00+00:00,10009.96797293,0E-8,10009.96797293,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-24 05:00:00+00:00,10054.91474091,5.00001305,10049.91472786,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001305', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-24 05:00:00+00:00,10049.91475545,0E-8,10049.91475545,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-24 06:00:00+00:00,10036.76247749,4.99998546,10031.76249203,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998546', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-24 06:00:00+00:00,10031.76245529,0E-8,10031.76245529,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-24 23:00:00+00:00,9920.74022399,5.00002220,9915.74020179,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002220', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-24 23:00:00+00:00,9915.74022466,0E-8,9915.74022466,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-25 06:00:00+00:00,9943.20135651,4.99999933,9938.20135718,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999933', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-25 06:00:00+00:00,9938.20139051,0E-8,9938.20139051,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-25 10:00:00+00:00,9929.91692998,4.99996600,9924.91696398,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99996600', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-25 10:00:00+00:00,9924.91693069,0E-8,9924.91693069,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-25 18:00:00+00:00,9919.57937611,4.99999929,9914.57937682,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999929', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-25 18:00:00+00:00,9914.57936921,0E-8,9914.57936921,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-25 20:00:00+00:00,9905.26679920,5.00000690,9900.26679230,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000690', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-25 20:00:00+00:00,9900.26677194,0E-8,9900.26677194,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-25 23:00:00+00:00,9895.40397161,5.00002726,9890.40394435,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002726', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-25 23:00:00+00:00,9890.40394531,0E-8,9890.40394531,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 01:00:00+00:00,9910.95463985,5.00002630,9905.95461355,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002630', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 01:00:00+00:00,9905.95461084,0E-8,9905.95461084,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 07:00:00+00:00,9939.55826498,5.00002901,9934.55823597,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002901', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 07:00:00+00:00,9934.55828544,0E-8,9934.55828544,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 08:00:00+00:00,9955.94735339,4.99997954,9950.94737385,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997954', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 08:00:00+00:00,9950.94731929,0E-8,9950.94731929,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 09:00:00+00:00,9957.56031729,5.00003410,9952.56028319,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00003410', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 09:00:00+00:00,9952.56034233,0E-8,9952.56034233,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 10:00:00+00:00,9957.81864280,4.99997496,9952.81866784,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997496', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 10:00:00+00:00,9952.81863588,0E-8,9952.81863588,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 11:00:00+00:00,9958.07750052,5.00000692,9953.07749360,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000692', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 11:00:00+00:00,9953.07752556,0E-8,9953.07752556,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 12:00:00+00:00,9935.23552182,4.99997496,9930.23554686,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997496', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 12:00:00+00:00,9930.23554043,0E-8,9930.23554043,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-26 23:00:00+00:00,9867.25000833,4.99998139,9862.25002694,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998139', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-26 23:00:00+00:00,9862.24997604,0E-8,9862.24997604,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-27 06:00:00+00:00,9865.61069955,5.00003229,9860.61066726,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00003229', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-27 06:00:00+00:00,9860.61067568,0E-8,9860.61067568,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-27 09:00:00+00:00,9876.53997453,5.00002387,9871.53995066,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002387', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-27 09:00:00+00:00,9871.53994773,0E-8,9871.53994773,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-27 17:00:00+00:00,9824.25650331,5.00002680,9819.25647651,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002680', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-27 17:00:00+00:00,9819.25648395,0E-8,9819.25648395,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-28 01:00:00+00:00,9727.01169045,5.00001936,9722.01167109,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001936', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-28 01:00:00+00:00,9722.01169466,0E-8,9722.01169466,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-28 05:00:00+00:00,9743.21628503,4.99999579,9738.21628924,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999579', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-28 05:00:00+00:00,9738.21627006,0E-8,9738.21627006,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-28 10:00:00+00:00,9799.47800302,5.00001497,9794.47798805,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001497', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-28 10:00:00+00:00,9794.47798845,0E-8,9794.47798845,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-28 11:00:00+00:00,9804.22770418,5.00001457,9799.22768961,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001457', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-28 11:00:00+00:00,9799.22772078,0E-8,9799.22772078,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-29 00:00:00+00:00,9833.16589455,4.99998340,9828.16591115,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998340', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-29 00:00:00+00:00,9828.16587551,0E-8,9828.16587551,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-29 06:00:00+00:00,9894.81395725,5.00001904,9889.81393821,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001904', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-29 06:00:00+00:00,9889.81397776,0E-8,9889.81397776,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-29 09:00:00+00:00,9875.00584305,4.99997949,9870.00586356,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997949', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-29 09:00:00+00:00,9870.00585011,0E-8,9870.00585011,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-29 14:00:00+00:00,9904.91192660,4.99999294,9899.91193366,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999294', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-05-29 14:00:00+00:00,9899.91191329,0E-8,9899.91191329,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-05-29 16:00:00+00:00,9916.65868567,5.00001331,9911.65867236,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001331', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
