position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-200000-001-000-1,O-20240523-220000-001-000-2,BUY,FLAT,0.000000,0.073743,2024-05-23 20:00:00+00:00,1716501600000000000,2024-05-23 22:00:00+00:00,7200000000000.0,67802.89,68000.0,['10.01451252 USDT'],0.00291,4.52097021 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-220000-001-000-3,O-20240524-060000-001-000-4,SELL,FLAT,0.000000,0.073529,2024-05-23 22:00:00+00:00,1716530400000000000,2024-05-24 06:00:00+00:00,28800000000000.0,68000.0,67190.149999999,['9.94039654 USDT'],0.01191,49.60706411 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-060000-001-000-5,O-20240524-100000-001-000-6,BUY,FLAT,0.000000,0.074416,2024-05-24 06:00:00+00:00,1716544800000000000,2024-05-24 10:00:00+00:00,14400000000000.0,67190.149999999,67353.429999999,['10.01219505 USDT'],0.00243,2.13844943 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-100000-001-000-7,O-20240524-130000-001-000-8,SELL,FLAT,0.000000,0.074235,2024-05-24 10:00:00+00:00,1716555600000000000,2024-05-24 13:00:00+00:00,10800000000000.0,67353.429999999,67077.119999999,['9.97945188 USDT'],0.0041,10.53242097 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-130000-001-000-9,O-20240524-160000-001-000-10,BUY,FLAT,0.000000,0.074541,2024-05-24 13:00:00+00:00,1716566400000000000,2024-05-24 16:00:00+00:00,10800000000000.0,67077.119999999,68970.429999999,['10.14112042 USDT'],0.02823,130.98810029 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-160000-001-000-11,O-20240524-220000-001-000-12,SELL,FLAT,0.000000,0.072495,2024-05-24 16:00:00+00:00,1716588000000000000,2024-05-24 22:00:00+00:00,21600000000000.0,68970.429999999,68524.94,['9.96772685 USDT'],0.00646,22.32807070 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-220000-001-000-13,O-20240525-040000-001-000-14,BUY,FLAT,0.000000,0.072966,2024-05-24 22:00:00+00:00,1716609600000000000,2024-05-25 04:00:00+00:00,21600000000000.0,68524.94,68660.39,['10.00986479 USDT'],0.00198,-0.12662009 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-040000-001-000-15,O-20240525-050000-001-000-16,SELL,FLAT,0.000000,0.072822,2024-05-25 04:00:00+00:00,1716613200000000000,2024-05-25 05:00:00+00:00,3600000000000.0,68660.39,68718.21,['10.00418441 USDT'],-0.00084,-14.21475245 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-050000-001-000-17,O-20240525-060000-001-000-18,BUY,FLAT,0.000000,0.072761,2024-05-25 05:00:00+00:00,1716616800000000000,2024-05-25 06:00:00+00:00,3600000000000.0,68718.21,69059.35,['10.02483305 USDT'],0.00496,14.79685449 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-060000-001-000-19,O-20240525-100000-001-000-20,SELL,FLAT,0.000000,0.072401,2024-05-25 06:00:00+00:00,1716631200000000000,2024-05-25 10:00:00+00:00,14400000000000.0,69059.35,69104.67,['10.00321321 USDT'],-0.00066,-13.28442653 USDT
